practices,social,study vs product,system perception,system use,value judgements
able (2),whether (1),apples (1),settings (1),quantities (2),shouldnt (2)
wheat (2),apparently (1),pears (1),cancelled (1),halfway (2),ended (2)
consortium (2),receive (1),grams (1),sends (1),punnet (2),reordered (2)
toilet (2),issue (1),compare (1),confirm (1),making (2),satisfied (2)
roll (2),else (1),handle (1),hadnt (1),sauce (2),every (2)
seeds (2),they (1),reality (1),idea (1),roughly (2),lost (2)
important (2),,forever (1),new (1),often (2),normal (2)
putting (2),,detached (1),with (1),tins (2),maintenance (2)
hovis (2),,fantasy (1),taste (1),accessible (2),approach (2)
cut (2),,fantasise (1),anymore (1),tomato (2),glitch (2)
andrew (2),,hand (1),reordering (1),ate (2),hard (2)
children (2),,collect (1),automate (1),suggestion (2),wrong (2)
friday (2),,evenings (1),shopping (1),was (2),waiting (2)
society (2),,worried (1),save (1),flatmate (2),eco (2)
weve (2),,card (1),effort (1),neighbour (2),engaged (2)
walk (2),,credit (1),explanation (1),realised (2),priority (2)
coop (2),,situation (1),adjustable (1),addison (2),may (2)
absolutely (2),,scared (1),sort (1),biggest (2),wonder (2)
pass (2),,allowance (1),gave (1),delivering (2),used (2)
were (2),,practical (1),decided (1),lee (2),certain (2)
werent (2),,wine (1),best (1),slot (2),stick (2)
lots (2),,three (1),longest (1),consumption (2),counterspace (2)
possibly (2),,straight (1),notice (1),month (2),couldnt (2)
onion (2),,choice (1),we (1),dishes (2),type (2)
waiting (2),,realising (1),quick (1),worry (2),tend (2)
red (2),,inconvenience (1),earlier (1),shop (2),brilliant (2)
roast (2),,side (1),triggers (1),six (2),round (2)
mushroom (2),,waste (1),higher (1),weekly (2),cooked (2)
quick (2),,multiple (1),twice (1),matter (2),pot (2)
silly (2),,find (1),immediately (1),doesnt (2),gone (2)
slightly (2),,bothered (1),dumb (1),pissed (2),veg (2)
fusilli (2),,especially (1),banana (1),amounts (2),internet (2)
cooks (2),,finished (1),conception (1),bowls (2),suited (2)
beans (2),,looked (1),bare (1),forget (2),big (2)
topup (2),,arrive (1),user (1),completely (2),lives (2)
foodstuffs (2),,interested (1),error (1),flat (2),becomes (2)
suited (2),,balancing (1),worry (1),decided (2),to (2)
havent (2),,theyd (1),describing (1),basis (2),shelf (2)
now (2),,presumably (1),milk (1),checking (2),organise (2)
cat (2),,information (1),fridges (1),priority (2),connected (2)
subscribe (2),,picked (1),telling (1),white (2),forgot (2)
daniel (2),,curious (1),text (1),scenario (2),honest (2)
meaningful (2),,hardest (1),fridge (1),reallife (2),forget (2)
becomes (2),,tune (1),phrase (1),case (2),interface (2)
higher (2),,regularly (1),confusion (1),situation (2),router (2)
service (2),,quantity (1),let (1),real (2),yeo (2)
services (2),,certain (1),easier (1),autonomy (2),valley (2)
attention (2),,to (1),show (1),several (2),putting (2)
