practices,social,study vs product,system perception,system use,value judgements
this (3),anyway (1),money (2),sign (1),six (10),shipped (2)
using (3),accepted (1),sitting (2),ever (1),ever (10),travelled (2)
ordered (3),beforehand (1),can (2),real (1),notification (10),distance (2)
ocado (3),rang (1),attention (2),basis (1),makes (10),far (2)
hours (3),issued (1),handy (2),consume (1),in (10),without (2)
depot (3),easier (1),reuse (2),goods (1),asking (10),source (2)
scale (3),true (1),recycling (2),weekly (1),bananas (10),works (2)
fairly (3),website (1),monday (2),spend (1),error (10),exploring (2)
sainsburys (3),watching (1),grouping (2),whenever (1),biscuits (10),automatic (2)
list (3),saturday (1),oats (2),preagreed (1),found (10),decided (2)
least (3),earth (1),normal (2),leave (1),expected (10),pick (2)
particularly (3),tv (1),hour (2),wake (1),werent (10),different (2)
couldnt (3),totally (1),needed (2),sundays (1),normal (10),glitch (2)
freezing (3),unexpected (1),item (2),saturdays (1),concierge (10),ipad (2)
future (3),knocks (1),chose (2),kit (1),morning (10),whether (2)
christmas (3),directly (1),hovis (2),home (1),straight (10),messed (2)
mum (3),sent (1),cut (2),meat (1),brown (10),instantly (2)
chose (3),concerns (1),label (2),example (1),potatoes (10),depots (2)
evening (3),figure (1),knew (2),gym (1),arrive (9),error (2)
guy (3),moved (1),keep (2),weekends (1),ate (9),issues (2)
british (3),amazon (1),consumer (2),close (1),lazy (9),talked (2)
side (3),dhl (1),lazy (2),relied (1),cupboard (9),second (2)
perhaps (3),horrors (1),habits (2),sustainability (1),white (9),wherever (1)
city (3),alison (1),seeing (2),drag (1),case (9),bringing (1)
in (3),pass (1),friends (2),family (1),to (9),neighbours (1)
thursday (3),near (1),half (2),scream (1),ten (9),ecofriendly (1)
tomorrow (3),road (1),drive (2),surprise (1),easier (9),concern (1)
wow (3),as (1),expecting (2),asking (1),name (9),packets (1)
imagine (3),attempt (1),concierge (2),fuss (1),kept (9),small (1)
course (3),offence (1),goods (2),kinder (1),comes (9),tomorrow (1)
past (3),theyd (1),oil (2),crying (1),possibly (9),shit (1)
occasion (3),imagine (1),lives (2),place (1),almost (9),less (1)
on (3),theyre (1),topup (2),parents (1),money (9),guilty (1)
sell (3),talked (1),somewhere (2),advance (1),longer (9),inaudible (1)
bother (3),disturb (1),charging (2),handy (1),wheat (9),come (1)
study (3),interacting (1),busy (2),purpose (1),showing (9),men (1)
main (3),variable (1),complicated (2),iphone (1),button (9),woman (1)
loaf (3),others (1),picking (2),general (1),triggered (9),special (1)
guys (3),schedules (1),beans (2),cover (1),supposed (9),organics (1)
that (3),anybody (1),coffee (2),superfluous (1),red (9),youll (1)
world (3),push (1),containers (2),designed (1),says (9),ocado (1)
weekend (3),told (1),option (2),clearly (1),keep (9),drivers (1)
happen (3),dinner (1),triggered (2),ahead (1),quality (9),evolve (1)
beginning (3),boyfriend (1),mixing (2),plans (1),which (8),expect (1)
unless (3),awkward (1),cook (2),front (1),head (8),project (1)
text (3),kitchen (1),enough (2),organised (1),reorder (8),essentially (1)
breakfast (3),rest (1),log (2),am (1),hard (8),area (1)
wholewheat (3),cooks (1),penne (2),stupid (1),kitchen (8),green (1)
brand (3),with (1),fusilli (2),accounts (1),tend (8),preferable (1)
able (3),brilliant (1),wed (2),dish (1),forget (8),within (1)
path (3),noticed (1),figure (2),quickly (1),priority (8),potentially (1)
part (3),running (1),basic (2),believe (1),potentially (8),details (1)
sit (3),bizarrely (1),butter (2),present (1),autonomy (8),kinds (1)
friends (3),often (1),dream (2),prototype (1),looks (8),forward (1)
putting (3),experience (1),therell (2),opinion (1),regular (8),taken (1)
shape (3),next (1),foodstuffs (2),remove (1),healthy (8),nextday (1)
done (3),etc (1),alright (2),perfected (1),front (8),years (1)
andrew (3),please (1),rest (2),bugs (1),soon (8),spending (1)
planning (3),lost (1),started (2),six (1),bigger (8),parents (1)
children (3),becomes (1),loved (2),such (1),slightly (8),ago (1)
friday (3),important (1),cross (2),texts (1),oranges (8),month (1)
monday (3),value (1),potentially (2),emails (1),problems (8),code (1)
society (3),considered (1),itd (2),receiving (1),top (8),prime (1)
express (3),cookies (1),cookies (2),million (1),notifications (8),supposed (1)
weve (3),nuts (1),says (2),making (1),they (8),evening (1)
pass (3),higher (1),rice (2),annoying (1),depot (8),place (1)
were (3),service (1),spaghetti (2),clever (1),fruit (8),miserable (1)
possibly (3),valuable (1),consumed (2),often (1),can (8),raining (1)
onion (3),give (1),instead (2),mouldy (1),quick (8),outside (1)
mushroom (3),basis (1),give (2),received (1),especially (8),opened (1)
wonder (3),right (1),expectations (2),bluish (1),called (8),british (1)
slightly (3),services (1),judge (2),on (1),press (8),complain (1)
cooks (3),snack (1),seen (2),dead (1),generally (8),side (1)
beans (3),weekly (1),expect (2),white (1),chose (8),begged (1)
please (3),course (1),future (2),checked (1),course (8),perhaps (1)
double (3),snacks (1),space (2),lovely (1),trust (8),job (1)
topup (3),appreciate (1),version (1),away (1),stop (8),immigrant (1)
suddenly (3),fruit (1),when (1),rotten (1),busy (8),review (1)
foodstuffs (3),accurate (1),havent (1),joan (1),talked (8),this (1)
rest (3),deliveries (1),prototype (1),subsequent (1),service (8),money (1)
useful (3),at (1),early (1),actual (1),automatic (8),person (1)
havent (3),difficulty (1),large (1),indeed (1),took (8),country (1)
technology (3),quality (1),abandon (1),left (1),regularly (8),conditions (1)
lives (3),depots (1),difference (1),desired (1),happy (8),which (1)
daniel (3),comes (1),reckless (1),occasion (1),picked (8),around (1)
meaningful (3),buy (1),suppliers (1),rest (1),middle (8),city (1)
attention (3),random (1),ever (1),miss (1),click (8),awful (1)
takes (3),branding (1),criticisms (1),true (1),goes (8),running (1)
just (3),branded (1),biggest (1),unless (1),talk (8),ridiculous (1)
not (3),beginning (1),costwise (1),approach (1),particular (8),accounts (1)
london (3),apparently (1),later (1),prove (1),must (8),weight (1)
olive (3),issue (1),delivering (1),cautious (1),taking (7),dish (1)
porridge (3),whether (1),addison (1),unplugged (1),tomorrow (7),quickly (1)
oats (3),discussing (1),our (1),reason (1),making (7),runs (1)
unusual (3),receive (1),lee (1),afterwards (1),five (7),believe (1)
accurate (3),else (1),ineffective (1),weeks (1),consumption (7),present (1)
ones (3),they (1),conclusive (1),maintain (1),love (7),prototype (1)
healthier (3),sowell (1),concerns (1),element (1),completely (7),opinion (1)
practices (3),comments (1),impact (1),rely (1),flat (7),remove (1)
likes (3),thinkthats (1),main (1),create (1),best (7),perfected (1)
ended (2),answer (1),environmental (1),measuring (1),sign (7),bugs (1)
tomatobased (2),room (1),struggled (1),reliability (1),high (7),such (1)
roughly (2),missed (1),worth (1),involves (1),life (7),receiving (1)
accessible (2),set (1),differentiate (1),possible (1),real (7),million (1)
tins (2),stone (1),plans (1),transactional (1),means (7),clever (1)
delicious (2),producer (1),slots (1),loss (1),logged (7),in (1)
many (2),sending (1),grooves (1),possibility (1),options (7),mouldy (1)
salad (2),,bridge (1),selection (1),convenient (7),bluish (1)
replaced (2),,signed (1),fruits (1),understand (7),except (1)
chuck (2),,guarantee (1),mixed (1),wondering (7),half (1)
clementines (2),,minimum (1),allergic (1),arrived (7),dead (1)
yummy (2),,happen (1),strawberries (1),minus (7),white (1)
intervened (2),,building (1),line (1),local (7),chosen (1)
wrong (2),,driving (1),thatsa (1),explain (7),lovely (1)
everything (2),,sleep (1),direct (1),yeah (7),simple (1)
somehow (2),,across (1),interaction (1),preference (7),cook (1)
twice (2),,redeliver (1),hell (1),initially (7),worry (1)
exactly (2),,basics (1),bloody (1),based (7),sorry (1)
worry (2),,housemate (1),oranges (1),expensive (7),switch (1)
avocados (2),,passes (1),grocery (1),thursday (7),busy (1)
recipe (2),,he (1),kitchen (1),available (7),easier (1)
reason (2),,hes (1),ran (1),automation (7),extremely (1)
kitchen (2),,gets (1),reorder (1),automated (7),mobility (1)
recipes (2),,promised (1),limit (1),true (7),periods (1)
cooked (2),,buying (1),settings (1),half (7),finished (1)
uk (2),,organic (1),there (1),amazon (7),loaf (1)
summer (2),,currently (1),cancelled (1),sunflower (7),minimum (1)
theyve (2),,spinach (1),confirm (1),finish (7),whatever (1)
somewhere (2),,argue (1),idea (1),suddenly (7),shape (1)
grew (2),,commit (1),new (1),talking (7),enough (1)
small (2),,ahead (1),with (1),chance (7),reordering (1)
throw (2),,decided (1),taste (1),although (7),might (1)
spinach (2),,complain (1),anymore (1),god (7),try (1)
market (2),,hasslefree (1),automate (1),receive (7),cancel (1)
cool (2),,some (1),shopping (1),login (7),notifications (1)
yesterday (2),,lidl (1),reordering (1),technology (7),stopped (1)
based (2),,tescos (1),save (1),monitoring (7),mildly (1)
consume (2),,amazon (1),effort (1),november (7),loaves (1)
availability (2),,whoa (1),explanation (1),occasionally (7),worried (1)
strict (2),,paid (1),sort (1),fridge (7),mainly (1)
as (2),,cooking (1),adjustable (1),mention (7),giraffe (1)
case (2),,fourth (1),gave (1),interview (7),brown (1)
conscious (2),,gives (1),decided (1),hes (6),texted (1)
easily (2),,cancel (1),best (1),seemed (6),rearrange (1)
