practices,social,study vs product,system perception,system use,value judgements
butter (1),,,,sunflower (4),english (1)
scales (1),,,,answer (4),friday (1)
dream (1),,,,moment (4),ran (1)
alright (1),,,,type (4),does (1)
world (1),,,,care (4),trial (1)
snacks (1),,,,understand (4),design (1)
brixton (1),,,,helpful (4),list (1)
shop (1),,,,comes (4),unclearovertalking (1)
trigger (1),,,,past (4),healthy (1)
tooting (1),,,,suddenly (4),physically (1)
havent (1),,,,human (4),active (1)
now (1),,,,confused (4),yolk (1)
tell (1),,,,types (4),cholesterol (1)
they (1),,,,although (4),accessible (1)
yoghurt (1),,,,automatic (4),virgin (1)
hold (1),,,,reasons (4),tv (1)
slurpies (1),,,,company (3),reasons (1)
youso (1),,,,crazy (3),potential (1)
shapes (1),,,,deliver (3),sustainability (1)
though (1),,,,can (3),aspects (1)
hang (1),,,,log (3),drive (1)
absolutely (1),,,,almost (3),wholl (1)
tomato (1),,,,groceries (3),processed (1)
whether (1),,,,details (3),purpose (1)
balanced (1),,,,amazon (3),deliver (1)
nutritionally (1),,,,experiment (3),holidays (1)
ketchup (1),,,,benefits (3),are (1)
isthats (1),,,,hes (3),cancel (1)
this (1),,,,honestly (3),chance (1)
unplugged (1),,,,month (3),funny (1)
cleaner (1),,,,gotten (3),shuttle (1)
goes (1),,,,great (3),gophr (1)
cookies (1),,,,quickly (3),receiving (1)
meaningful (1),,,,surprised (3),love (1)
breadcrumbs (1),,,,connection (3),supermarket (1)
continue (1),,,,friday (3),opposite (1)
grownups (1),,,,joking (3),lifestyle (1)
wanted (1),,,,assumed (3),entry (1)
questions (1),,,,god (3),packaged (1)
london (1),,,,middle (3),touch (1)
centre (1),,,,show (3),water (1)
gails (1),,,,bags (3),practical (1)
meeting (1),,,,spending (3),worried (1)
batch (1),,,,waiting (3),centred (1)
pan (1),,,,with (3),orange (1)
last (1),,,,gets (3),juice (1)
oats (1),,,,yet (3),create (1)
breakfasts (1),,,,key (3),proximity (1)
porridge (1),,,,deleting (3),board (1)
mine (1),,,,watching (3),family (1)
fine (1),,,,carry (3),issues (1)
checked (1),,,,charge (3),explained (1)
fairly (1),,,,occasionally (3),experienced (1)
early (1),,,,expected (3),limitation (1)
fascinating (1),,,,grams (3),messages (1)
unusual (1),,,,heavy (3),hoover (1)
geeky (1),,,,variety (3),wish (1)
ivlike (1),,,,clementines (3),record (1)
reducing (1),,,,press (3),busy (1)
sustainable (1),,,,toilet (3),gosh (1)
local (1),,,,receive (3),receive (1)
broad (1),,,,chose (3),lemons (1)
terms (1),,,,explained (3),wondering (1)
sustainability (1),,,,cancelling (3),impact (1)
service (1),,,,hadnt (3),arrives (1)
types (1),,,,notice (3),occurred (1)
comparing (1),,,,later (3),soon (1)
year (1),,,,reset (3),thatd (1)
decrease (1),,,,visit (3),seasonal (1)
saw (1),,,,friends (3),picked (1)
baking (1),,,,properly (3),randomly (1)
lets (1),,,,quick (3),plus (1)
project (1),,,,balance (3),handy (1)
kilo (1),,,,individual (3),variety (1)
stage (1),,,,picked (3),routine (1)
pregnancy (1),,,,real (3),bigger (1)
appetite (1),,,,happy (3),bought (1)
decreasing (1),,,,least (3),clementines (1)
whatever (1),,,,sound (3),apples (1)
main (1),,,,pounds (3),fruit (1)
tomorrow (1),,,,possibly (3),lemon (1)
attention (1),,,,mostly (3),pattern (1)
price (1),,,,seeing (3),provide (1)
checking (1),,,,waste (3),recommendations (1)
paying (1),,,,worth (3),purchased (1)
budget (1),,,,decision (3),course (1)
lunch (1),,,,starting (3),reinforcing (1)
instance (1),,,,wed (3),reliable (1)
options (1),,,,sunday (3),intelligent (1)
christmas (1),,,,apart (3),tangerines (1)
cafeteria (1),,,,best (3),thewell (1)
uni (1),,,,grocery (3),must (1)
more (1),,,,site (3),maintain (1)
arent (1),,,,near (3),trusting (1)
comes (1),,,,tesco (3),behind (1)
aware (1),,,,weekend (3),involving (1)
visible (1),,,,on (3),effort (1)
cupboard (1),,,,paid (3),integrates (1)
having (1),,,,hang (3),overload (1)
open (1),,,,side (3),careful (1)
baby (1),,,,ended (3),health (1)
st (1),,,,happening (3),main (1)
sweet (1),,,,necessarily (3),mind (1)
look (1),,,,easily (3),difficulties (1)
stuck (1),,,,confirmed (3),kept (1)
flexible (1),,,,money (3),cancelling (1)
,,,,confirmation (3),five (1)
,,,,general (3),gave (1)
,,,,tough (3),consume (1)
,,,,mates (3),arrive (1)
,,,,cooking (3),number (1)
,,,,mixed (3),response (1)
,,,,tacos (3),showed (1)
,,,,reorder (3),practices (1)
,,,,pages (3),any (1)
,,,,certain (3),look (1)
,,,,flat (3),ideal (1)
,,,,choose (3),honest (1)
,,,,interface (3),versions (1)
,,,,collecting (3),expensive (1)
,,,,quantity (3),toast (1)
,,,,november (3),makes (1)
,,,,ivi (3),choices (1)
,,,,fun (3),giraffe (1)
,,,,automation (3),happens (1)
,,,,fairly (3),small (1)
,,,,whereas (3),real (1)
,,,,lower (3),fee (1)
,,,,consuming (3),advantage (1)
,,,,chosen (2),suggested (1)
,,,,model (2),invited (1)
,,,,cheapest (2),came (1)
,,,,halfway (2),implement (1)
,,,,autonomy (2),clue (1)
,,,,environment (2),shops (1)
,,,,suggestion (2),aspect (1)
,,,,eye (2),per (1)
,,,,preferences (2),wasyes (1)
,,,,unless (2),reordering (1)
,,,,somehow (2),automate (1)
,,,,lazy (2),rather (1)
,,,,year (2),hmhm (1)
,,,,season (2),setup (1)
,,,,replenished (2),links (1)
,,,,freeze (2),aheadno (1)
